epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3493,0.91901,1.75213,1.36101,0.43203,0.41748,0.30147,0.18591,1.43355,5.50494,2.90703,0.000410354,0.000410354,0.000410354
2,57.0729,1.19973,1.56705,1.54981,0.21524,0.23883,0.12685,0.0574,2.68115,70.2007,5.1525,0.000825383,0.000825383,0.000825383
3,85.4189,1.32655,1.65117,1.61786,0.04921,0.08522,0.01791,0.0054,3.20172,4.85772,3.79166,0.00123876,0.00123876,0.00123876
4,113.681,1.30135,1.64214,1.61891,0.27404,0.25455,0.18793,0.09397,2.17271,5.51547,3.12659,0.00124257,0.00124257,0.00124257
5,141.921,1.20398,1.44761,1.5361,0.6266,0.37624,0.44761,0.25628,1.64251,3.03913,2.33089,0.0012401,0.0012401,0.0012401
6,170.208,1.17432,1.39805,1.52192,0.63641,0.65282,0.66896,0.42794,1.28995,1.61506,1.826,0.00123763,0.00123763,0.00123763
7,198.526,1.10081,1.30214,1.46938,0.70448,0.62874,0.68853,0.43859,1.2836,1.92757,1.67488,0.00123515,0.00123515,0.00123515
8,226.834,1.11312,1.24838,1.44697,0.78183,0.71291,0.78701,0.52803,1.21157,1.10485,1.78622,0.00123268,0.00123268,0.00123268
9,255.213,1.06446,1.25983,1.43552,0.72778,0.64695,0.71729,0.46997,1.10607,2.11804,1.57149,0.0012302,0.0012302,0.0012302
10,283.391,1.07588,1.17802,1.45058,0.59451,0.55785,0.51521,0.32147,1.26127,2.0199,1.80275,0.00122773,0.00122773,0.00122773
11,311.586,1.03687,1.15621,1.40543,0.75535,0.60106,0.6969,0.48182,1.15736,1.55535,1.64079,0.00122525,0.00122525,0.00122525
12,339.816,1.01439,1.11455,1.39155,0.61629,0.51825,0.55553,0.33182,1.47099,1.83462,2.08613,0.00122277,0.00122277,0.00122277
13,368.086,0.98307,1.05055,1.36213,0.81862,0.70385,0.80637,0.58518,1.14824,1.05195,1.73159,0.0012203,0.0012203,0.0012203
14,396.331,0.94895,1.01952,1.34647,0.73703,0.77423,0.84733,0.62616,1.02911,1.13496,1.53278,0.00121783,0.00121783,0.00121783
15,424.746,0.93704,1.02427,1.33542,0.81114,0.65807,0.78397,0.54974,1.15197,1.20538,1.72612,0.00121535,0.00121535,0.00121535
16,452.914,0.9165,0.96717,1.32318,0.81907,0.73275,0.81099,0.59893,1.06876,1.09138,1.58956,0.00121287,0.00121287,0.00121287
17,481.127,0.9508,0.94989,1.34131,0.83855,0.71124,0.81441,0.61279,1.04464,0.97783,1.5221,0.0012104,0.0012104,0.0012104
18,509.328,0.91492,0.95824,1.31987,0.74859,0.61855,0.7313,0.51378,1.14253,1.45313,1.65906,0.00120793,0.00120793,0.00120793
19,537.501,0.90714,0.93935,1.33322,0.8414,0.75485,0.83441,0.60725,1.08611,0.90785,1.62051,0.00120545,0.00120545,0.00120545
20,565.744,0.908,0.96263,1.31572,0.81791,0.72847,0.82088,0.62217,1.00517,1.38865,1.46593,0.00120298,0.00120298,0.00120298
21,593.981,0.86798,0.89375,1.28754,0.81724,0.76534,0.84609,0.64481,1.00189,0.96113,1.46362,0.0012005,0.0012005,0.0012005
22,622.249,0.91897,0.94713,1.32186,0.85167,0.7611,0.84936,0.62822,1.07321,1.19153,1.46206,0.00119802,0.00119802,0.00119802
23,650.503,0.85866,0.87892,1.28216,0.83026,0.66496,0.75245,0.55595,1.09841,1.30916,1.6105,0.00119555,0.00119555,0.00119555
24,678.804,0.86714,0.87825,1.27488,0.85103,0.77954,0.86652,0.67068,0.95876,0.77081,1.3377,0.00119308,0.00119308,0.00119308
25,707.064,0.84067,0.84097,1.26901,0.77886,0.79207,0.84204,0.62861,1.00029,1.0502,1.37552,0.0011906,0.0011906,0.0011906
26,735.234,0.85781,0.85976,1.27863,0.87508,0.79596,0.89066,0.67822,0.98998,0.79642,1.50056,0.00118812,0.00118812,0.00118812
27,763.641,0.82916,0.82536,1.26155,0.88518,0.80857,0.88653,0.69301,0.9173,0.69753,1.38279,0.00118565,0.00118565,0.00118565
28,791.904,0.83988,0.81257,1.26313,0.76785,0.57254,0.68553,0.47757,1.24839,1.8333,1.75159,0.00118317,0.00118317,0.00118317
29,820.105,0.79996,0.77319,1.22644,0.8536,0.78109,0.87185,0.6884,0.93685,0.87581,1.39853,0.0011807,0.0011807,0.0011807
30,848.288,0.82869,0.80216,1.26038,0.90151,0.74902,0.87241,0.67145,0.99192,0.77303,1.43779,0.00117822,0.00117822,0.00117822
31,876.472,0.81239,0.80668,1.23946,0.89255,0.7792,0.86534,0.68461,0.88211,0.71105,1.34227,0.00117575,0.00117575,0.00117575
32,904.605,0.79003,0.78493,1.24632,0.89521,0.7988,0.88799,0.71405,0.91193,0.64786,1.47932,0.00117327,0.00117327,0.00117327
33,932.865,0.77217,0.74153,1.21765,0.74163,0.68785,0.76075,0.55217,1.17235,1.29652,1.62637,0.0011708,0.0011708,0.0011708
34,961.076,0.78205,0.75073,1.21675,0.91816,0.7749,0.90275,0.72242,0.8865,0.8297,1.49254,0.00116833,0.00116833,0.00116833
35,989.394,0.79469,0.74073,1.23344,0.84399,0.82229,0.88738,0.69393,0.88822,0.77031,1.42991,0.00116585,0.00116585,0.00116585
36,1017.54,0.77539,0.71886,1.22328,0.87669,0.78293,0.89322,0.69593,0.82047,0.88365,1.26129,0.00116337,0.00116337,0.00116337
37,1045.71,0.80528,0.76549,1.24267,0.8577,0.83405,0.89117,0.69564,0.84283,0.65864,1.27691,0.0011609,0.0011609,0.0011609
38,1073.88,0.78067,0.74687,1.22409,0.91296,0.80486,0.89232,0.71002,0.88164,0.66226,1.3143,0.00115843,0.00115843,0.00115843
39,1102.03,0.76486,0.72177,1.21255,0.88131,0.81915,0.90386,0.71682,0.8792,0.60265,1.44368,0.00115595,0.00115595,0.00115595
40,1130.25,0.76107,0.71002,1.20969,0.84195,0.78806,0.86923,0.66932,0.92354,0.79079,1.38658,0.00115348,0.00115348,0.00115348
41,1158.42,0.73519,0.69931,1.20119,0.90873,0.72966,0.84906,0.67007,0.9232,0.82804,1.47859,0.001151,0.001151,0.001151
42,1186.55,0.74753,0.68701,1.19977,0.9018,0.83039,0.91107,0.72528,0.89525,0.61988,1.34741,0.00114853,0.00114853,0.00114853
43,1214.85,0.73737,0.6897,1.19451,0.89027,0.85344,0.91213,0.71909,0.88491,0.68286,1.34129,0.00114605,0.00114605,0.00114605
44,1243,0.73908,0.69525,1.19734,0.85542,0.80173,0.89556,0.72108,0.78439,0.70444,1.26651,0.00114357,0.00114357,0.00114357
45,1271.17,0.74835,0.68396,1.18992,0.80819,0.71854,0.79926,0.62094,0.95047,1.64712,1.5431,0.0011411,0.0011411,0.0011411
46,1299.4,0.7263,0.67102,1.17244,0.87511,0.83878,0.90314,0.72454,0.82863,0.6635,1.30748,0.00113863,0.00113863,0.00113863
47,1327.57,0.7202,0.66288,1.17575,0.93572,0.82297,0.92279,0.74692,0.82691,0.56416,1.3141,0.00113615,0.00113615,0.00113615
48,1355.84,0.73647,0.65721,1.17972,0.88543,0.82535,0.91177,0.73666,0.82833,0.67924,1.26501,0.00113368,0.00113368,0.00113368
49,1384.02,0.71063,0.64838,1.17226,0.88062,0.85072,0.91709,0.7282,0.91192,0.63992,1.34217,0.0011312,0.0011312,0.0011312
50,1412.16,0.72325,0.64317,1.17596,0.90788,0.80522,0.92009,0.74762,0.85804,0.57092,1.32499,0.00112873,0.00112873,0.00112873
51,1440.41,0.71103,0.64521,1.17004,0.90779,0.82446,0.91357,0.72225,0.89354,0.59137,1.41144,0.00112625,0.00112625,0.00112625
52,1468.56,0.71675,0.63791,1.17394,0.89471,0.85026,0.92629,0.74819,0.84441,0.55126,1.4661,0.00112378,0.00112378,0.00112378
53,1496.82,0.71931,0.64438,1.18014,0.90084,0.79126,0.90886,0.7377,0.85199,0.61159,1.34046,0.0011213,0.0011213,0.0011213
54,1525.07,0.698,0.62907,1.16574,0.87958,0.83703,0.91018,0.74052,0.88103,0.65785,1.36958,0.00111882,0.00111882,0.00111882
55,1553.23,0.69942,0.65076,1.16323,0.88989,0.84735,0.91678,0.73752,0.96619,0.70393,1.40482,0.00111635,0.00111635,0.00111635
56,1581.38,0.69896,0.63667,1.169,0.92222,0.83246,0.92221,0.76234,0.83353,0.55802,1.38387,0.00111388,0.00111388,0.00111388
57,1609.7,0.70954,0.62036,1.17489,0.87983,0.8184,0.88675,0.72667,0.85078,0.70988,1.39565,0.0011114,0.0011114,0.0011114
58,1637.91,0.69158,0.63305,1.16041,0.90638,0.7729,0.88427,0.70904,0.87059,0.72998,1.378,0.00110892,0.00110892,0.00110892
59,1666.15,0.68239,0.61529,1.14978,0.91506,0.81759,0.9103,0.75646,0.81188,0.56923,1.35051,0.00110645,0.00110645,0.00110645
60,1694.35,0.66569,0.5981,1.14149,0.89593,0.79296,0.89085,0.715,0.89084,1.14749,1.4402,0.00110397,0.00110397,0.00110397
61,1722.51,0.69293,0.608,1.15078,0.912,0.84563,0.93192,0.75812,0.86338,0.61007,1.33318,0.0011015,0.0011015,0.0011015
62,1750.72,0.68874,0.61698,1.15601,0.90199,0.83573,0.91445,0.74,0.87867,0.59873,1.35308,0.00109903,0.00109903,0.00109903
63,1778.91,0.67118,0.60999,1.1413,0.89965,0.84401,0.90334,0.7324,0.84376,0.59391,1.40366,0.00109655,0.00109655,0.00109655
64,1807.06,0.68357,0.59868,1.15692,0.91633,0.8471,0.91804,0.74378,0.86032,0.57236,1.42693,0.00109408,0.00109408,0.00109408
