epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.10507,0.84121,2.57239,1.23023,0.94437,0.21943,0.62853,0.47362,0.85236,2.63658,1.30096,0.000410354,0.000410354,0.000410354
2,15.5063,0.92931,1.57797,1.25019,0.65151,0.52124,0.57777,0.35957,1.21756,2.18167,1.79744,0.000825383,0.000825383,0.000825383
3,22.7794,1.03043,1.52042,1.32241,0.54923,0.61736,0.65941,0.44307,0.97892,1.70654,1.45428,0.00123876,0.00123876,0.00123876
4,30.0098,0.9949,1.42603,1.29992,0.59934,0.58547,0.61602,0.42675,1.12055,1.87791,1.68233,0.00124257,0.00124257,0.00124257
5,37.2173,0.95305,1.29414,1.26227,0.55823,0.46387,0.47852,0.31334,1.31125,2.06091,1.77284,0.0012401,0.0012401,0.0012401
6,44.4145,0.95359,1.21374,1.27507,0.68944,0.64371,0.69824,0.45257,1.17944,1.56653,1.57661,0.00123763,0.00123763,0.00123763
7,51.7284,0.92345,1.13455,1.25796,0.77984,0.66309,0.77258,0.53594,1.10912,1.24674,1.44582,0.00123515,0.00123515,0.00123515
8,58.9838,0.94356,1.08598,1.24541,0.7707,0.69814,0.76799,0.54538,1.13218,1.3945,1.63657,0.00123268,0.00123268,0.00123268
9,66.159,0.89664,1.03493,1.23183,0.87045,0.72944,0.84713,0.6212,1.03666,1.35459,1.47371,0.0012302,0.0012302,0.0012302
10,73.3995,0.92595,1.0163,1.24994,0.85882,0.73307,0.85111,0.6204,1.12697,0.99043,1.58078,0.00122773,0.00122773,0.00122773
11,80.6245,0.90328,1.00886,1.23762,0.86602,0.78228,0.8846,0.67003,0.89715,1.00633,1.28242,0.00122525,0.00122525,0.00122525
12,87.9194,0.87327,0.94103,1.2179,0.8728,0.79176,0.8738,0.66148,0.96726,0.92844,1.41099,0.00122277,0.00122277,0.00122277
13,95.1336,0.85234,0.90394,1.1918,0.83653,0.78128,0.84625,0.61993,0.97678,1.03464,1.3944,0.0012203,0.0012203,0.0012203
14,102.328,0.84514,0.87034,1.2,0.923,0.76973,0.91459,0.69691,0.94555,0.88415,1.35895,0.00121783,0.00121783,0.00121783
15,109.579,0.82651,0.86553,1.1864,0.83484,0.71432,0.82228,0.62166,1.07354,0.97282,1.45873,0.00121535,0.00121535,0.00121535
16,116.849,0.84033,0.83497,1.18505,0.81706,0.78007,0.86139,0.65174,1.00204,0.87072,1.45688,0.00121287,0.00121287,0.00121287
17,124.211,0.87008,0.84627,1.20292,0.8676,0.75325,0.84898,0.65544,0.93273,0.88052,1.37628,0.0012104,0.0012104,0.0012104
18,131.46,0.81557,0.80402,1.17128,0.87449,0.83145,0.89488,0.67535,0.9634,0.75845,1.42201,0.00120793,0.00120793,0.00120793
19,138.778,0.83524,0.82958,1.19815,0.88282,0.75654,0.89201,0.69244,0.97622,0.96052,1.47051,0.00120545,0.00120545,0.00120545
20,145.954,0.81301,0.81809,1.17023,0.90976,0.74019,0.88673,0.67816,0.99729,0.78243,1.454,0.00120298,0.00120298,0.00120298
21,153.256,0.79549,0.76521,1.17147,0.86484,0.82526,0.90369,0.69724,1.00806,0.82946,1.47201,0.0012005,0.0012005,0.0012005
22,160.437,0.81902,0.80333,1.18802,0.89855,0.78424,0.88342,0.69479,0.94077,0.77786,1.40427,0.00119802,0.00119802,0.00119802
23,167.607,0.77695,0.73958,1.15429,0.87502,0.7667,0.85845,0.6765,0.99024,1.01288,1.4386,0.00119555,0.00119555,0.00119555
24,174.776,0.78853,0.77565,1.15108,0.91823,0.79004,0.88557,0.70251,0.9048,0.74199,1.26638,0.00119308,0.00119308,0.00119308
25,181.974,0.78084,0.73316,1.15657,0.89111,0.81699,0.90601,0.71971,0.95196,1.02654,1.41989,0.0011906,0.0011906,0.0011906
26,189.221,0.7923,0.74873,1.16451,0.91774,0.8344,0.90798,0.71348,0.85568,0.75283,1.2476,0.00118812,0.00118812,0.00118812
27,196.408,0.76909,0.73659,1.14484,0.9065,0.8126,0.89895,0.7181,0.89692,0.68247,1.37336,0.00118565,0.00118565,0.00118565
28,203.633,0.78843,0.73796,1.15554,0.83817,0.83354,0.90729,0.70121,0.88657,0.90489,1.31156,0.00118317,0.00118317,0.00118317
29,210.844,0.76142,0.69797,1.13833,0.89086,0.76922,0.89226,0.71546,0.94015,0.88494,1.37691,0.0011807,0.0011807,0.0011807
30,218.112,0.77424,0.70876,1.15236,0.87294,0.82204,0.90111,0.70417,0.95675,0.6774,1.46831,0.00117822,0.00117822,0.00117822
31,225.397,0.74384,0.68975,1.12579,0.87743,0.76478,0.86027,0.67052,1.02511,0.82705,1.53405,0.00117575,0.00117575,0.00117575
32,232.754,0.74206,0.69454,1.13799,0.88495,0.81411,0.90465,0.72794,0.94345,0.66992,1.43597,0.00117327,0.00117327,0.00117327
33,240.078,0.72949,0.66308,1.11534,0.90234,0.79759,0.91786,0.70965,1.00759,0.74198,1.43748,0.0011708,0.0011708,0.0011708
34,247.488,0.74612,0.66732,1.117,0.89493,0.80495,0.90875,0.72593,0.972,0.70884,1.53716,0.00116833,0.00116833,0.00116833
35,254.779,0.74146,0.6743,1.12498,0.92059,0.81304,0.9072,0.71917,0.90592,0.70148,1.31668,0.00116585,0.00116585,0.00116585
36,262.167,0.72209,0.64327,1.11199,0.92114,0.82511,0.92931,0.7466,0.91273,0.66046,1.38423,0.00116337,0.00116337,0.00116337
37,269.449,0.75281,0.67254,1.14125,0.91464,0.81677,0.89888,0.72935,0.95873,0.84906,1.38531,0.0011609,0.0011609,0.0011609
38,276.737,0.75194,0.66742,1.128,0.89797,0.83678,0.92673,0.74621,0.98923,0.71081,1.43901,0.00115843,0.00115843,0.00115843
39,284.014,0.73604,0.65007,1.11627,0.91869,0.82399,0.91743,0.70682,0.94234,0.71485,1.43303,0.00115595,0.00115595,0.00115595
