epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9126,1.11262,1.93359,1.49896,0.05698,0.10948,0.02886,0.00975,nan,nan,nan,0.00041351,0.00041351,0.00041351
2,104.012,1.43275,1.93268,1.72906,0.10853,0.16566,0.09326,0.03542,2.59139,8.41947,3.2734,0.000828533,0.000828533,0.000828533
3,155.661,1.46832,1.91359,1.75975,0.21676,0.34386,0.21241,0.08457,1.93906,4.6443,2.52383,0.00124191,0.00124191,0.00124191
4,207.279,1.42651,1.86338,1.72278,0.44827,0.25201,0.23514,0.09734,1.95071,4.42738,2.48625,0.00124257,0.00124257,0.00124257
5,258.916,1.33675,1.73463,1.64771,0.43825,0.53859,0.48226,0.24991,1.5589,2.07273,2.05194,0.0012401,0.0012401,0.0012401
6,310.488,1.27245,1.63335,1.61095,0.52981,0.51158,0.50893,0.29551,1.44568,2.05503,1.91646,0.00123763,0.00123763,0.00123763
7,361.99,1.21346,1.52305,1.55812,0.62945,0.49893,0.5955,0.3579,1.43534,1.72017,1.89816,0.00123515,0.00123515,0.00123515
8,413.455,1.16166,1.45209,1.51127,0.55778,0.54706,0.52387,0.33094,1.29966,2.01622,1.71647,0.00123268,0.00123268,0.00123268
9,464.755,1.16291,1.45818,1.52031,0.73923,0.63413,0.71366,0.48146,1.20947,1.33426,1.66625,0.0012302,0.0012302,0.0012302
10,516.423,1.12197,1.36728,1.48383,0.66486,0.63226,0.6826,0.44426,1.18346,1.53107,1.6166,0.00122773,0.00122773,0.00122773
11,567.737,1.09233,1.35231,1.46286,0.71271,0.6689,0.74026,0.51239,1.07385,1.17537,1.52863,0.00122525,0.00122525,0.00122525
12,619.209,1.05938,1.2701,1.42644,0.68983,0.59257,0.65428,0.42862,1.21434,1.69936,1.72419,0.00122277,0.00122277,0.00122277
13,670.582,1.04281,1.23819,1.41823,0.64914,0.65034,0.68795,0.46883,1.0432,1.32651,1.47572,0.0012203,0.0012203,0.0012203
