epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.48682,5.35445,0.0172,0.0754,5.14453,3.136e-05,3.136e-05,3.136e-05
2,10.0925,4.88267,0.0855,0.2194,4.43437,6.27327e-05,6.27327e-05,6.27327e-05
3,14.192,4.10558,0.203,0.4338,3.5082,9.34719e-05,9.34719e-05,9.34719e-05
4,18.8497,3.39671,0.3104,0.5938,2.84375,9.31488e-05,9.31488e-05,9.31488e-05
5,23.1007,2.89734,0.3835,0.6819,2.44688,9.21984e-05,9.21984e-05,9.21984e-05
6,27.7301,2.5885,0.4216,0.7222,2.22734,9.1248e-05,9.1248e-05,9.1248e-05
7,32.4815,2.38116,0.4599,0.764,2.03711,9.02976e-05,9.02976e-05,9.02976e-05
8,37.4792,2.235,0.4816,0.7833,1.93379,8.93472e-05,8.93472e-05,8.93472e-05
9,42.3697,2.12291,0.5081,0.8045,1.8084,8.83968e-05,8.83968e-05,8.83968e-05
10,46.8986,2.02802,0.519,0.8138,1.75254,8.74464e-05,8.74464e-05,8.74464e-05
11,51.4175,1.94633,0.5324,0.8274,1.69277,8.6496e-05,8.6496e-05,8.6496e-05
12,55.9263,1.87409,0.5404,0.8368,1.64434,8.55456e-05,8.55456e-05,8.55456e-05
13,60.7451,1.82251,0.5532,0.8411,1.60566,8.45952e-05,8.45952e-05,8.45952e-05
14,65.7643,1.76228,0.5598,0.8453,1.5748,8.36448e-05,8.36448e-05,8.36448e-05
15,70.8499,1.7289,0.5698,0.8498,1.54102,8.26944e-05,8.26944e-05,8.26944e-05
16,75.7069,1.6855,0.5772,0.8559,1.52051,8.1744e-05,8.1744e-05,8.1744e-05
17,80.9957,1.63373,0.5832,0.8571,1.49727,8.07936e-05,8.07936e-05,8.07936e-05
18,85.7457,1.60324,0.5912,0.8604,1.4709,7.98432e-05,7.98432e-05,7.98432e-05
19,90.7373,1.57289,0.5956,0.8651,1.45234,7.88928e-05,7.88928e-05,7.88928e-05
20,95.8748,1.54184,0.5947,0.8613,1.4582,7.79424e-05,7.79424e-05,7.79424e-05
21,100.841,1.51106,0.6068,0.8669,1.41992,7.6992e-05,7.6992e-05,7.6992e-05
22,105.768,1.47738,0.6028,0.8698,1.43008,7.60416e-05,7.60416e-05,7.60416e-05
23,110.837,1.4441,0.6125,0.8734,1.3873,7.50912e-05,7.50912e-05,7.50912e-05
24,116.107,1.43391,0.6162,0.8736,1.38945,7.41408e-05,7.41408e-05,7.41408e-05
25,121.166,1.39748,0.6135,0.8749,1.37852,7.31904e-05,7.31904e-05,7.31904e-05
26,126.403,1.37153,0.6267,0.8801,1.34395,7.224e-05,7.224e-05,7.224e-05
27,131.237,1.34917,0.6244,0.8822,1.3498,7.12896e-05,7.12896e-05,7.12896e-05
28,136.066,1.32698,0.6248,0.8794,1.34492,7.03392e-05,7.03392e-05,7.03392e-05
29,141.188,1.30765,0.6273,0.8792,1.34434,6.93888e-05,6.93888e-05,6.93888e-05
30,146.138,1.29537,0.6341,0.8835,1.32539,6.84384e-05,6.84384e-05,6.84384e-05
31,151.347,1.26841,0.6365,0.8864,1.31562,6.7488e-05,6.7488e-05,6.7488e-05
32,156.264,1.2469,0.6352,0.8856,1.31328,6.65376e-05,6.65376e-05,6.65376e-05
33,161.609,1.2336,0.6389,0.8887,1.31348,6.55872e-05,6.55872e-05,6.55872e-05
34,166.841,1.2212,0.637,0.8871,1.30996,6.46368e-05,6.46368e-05,6.46368e-05
35,171.748,1.20029,0.6421,0.8882,1.30605,6.36864e-05,6.36864e-05,6.36864e-05
36,176.891,1.18165,0.6438,0.8883,1.30117,6.2736e-05,6.2736e-05,6.2736e-05
37,181.686,1.17028,0.6459,0.8915,1.29414,6.17856e-05,6.17856e-05,6.17856e-05
38,186.673,1.155,0.6467,0.8911,1.28711,6.08352e-05,6.08352e-05,6.08352e-05
39,191.872,1.13436,0.6459,0.8906,1.28691,5.98848e-05,5.98848e-05,5.98848e-05
40,197.023,1.12058,0.6489,0.8897,1.29023,5.89344e-05,5.89344e-05,5.89344e-05
41,201.87,1.1101,0.6503,0.8893,1.28828,5.7984e-05,5.7984e-05,5.7984e-05
42,207.077,1.09992,0.6485,0.892,1.28809,5.70336e-05,5.70336e-05,5.70336e-05
43,211.961,1.08673,0.6495,0.8927,1.28496,5.60832e-05,5.60832e-05,5.60832e-05
44,217.217,1.06932,0.6472,0.8915,1.28047,5.51328e-05,5.51328e-05,5.51328e-05
45,222.07,1.0662,0.6492,0.8909,1.27637,5.41824e-05,5.41824e-05,5.41824e-05
46,226.997,1.04954,0.6526,0.8926,1.27578,5.3232e-05,5.3232e-05,5.3232e-05
47,231.782,1.03935,0.6524,0.8926,1.26699,5.22816e-05,5.22816e-05,5.22816e-05
48,237.272,1.0305,0.6563,0.8934,1.25918,5.13312e-05,5.13312e-05,5.13312e-05
49,242.256,1.01906,0.6557,0.8947,1.26602,5.03808e-05,5.03808e-05,5.03808e-05
50,246.983,1.01017,0.6556,0.8931,1.26816,4.94304e-05,4.94304e-05,4.94304e-05
51,252.178,0.99815,0.6562,0.8937,1.26758,4.848e-05,4.848e-05,4.848e-05
52,257.219,0.99125,0.6575,0.896,1.25703,4.75296e-05,4.75296e-05,4.75296e-05
53,262.074,0.97809,0.6577,0.8928,1.2707,4.65792e-05,4.65792e-05,4.65792e-05
