epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.8069,4.62568,0.2053,0.4798,3.38101,0.00332481,0.00332481,0.00332481
2,21.415,3.32675,0.3112,0.6201,2.79277,0.00662518,0.00662518,0.00662518
3,32.0425,3.08758,0.2556,0.5562,3.13643,0.00989256,0.00989256,0.00989256
4,41.9825,3.0205,0.335,0.6588,2.57593,0.0098515,0.0098515,0.0098515
5,52.1602,2.86377,0.3704,0.685,2.43452,0.009802,0.009802,0.009802
6,62.7114,2.77184,0.3578,0.6782,2.48203,0.0097525,0.0097525,0.0097525
7,72.7573,2.71519,0.3693,0.6901,2.41978,0.009703,0.009703,0.009703
8,83.8199,2.67439,0.3694,0.6846,2.48306,0.0096535,0.0096535,0.0096535
9,94.9074,2.62947,0.3977,0.7202,2.29375,0.009604,0.009604,0.009604
10,105.264,2.61332,0.4111,0.7199,2.24958,0.0095545,0.0095545,0.0095545
11,115.131,2.59088,0.4003,0.716,2.28359,0.009505,0.009505,0.009505
12,124.642,2.58319,0.4296,0.7395,2.16919,0.0094555,0.0094555,0.0094555
13,134.098,2.54537,0.4163,0.7311,2.21645,0.009406,0.009406,0.009406
14,143.575,2.54218,0.4407,0.7527,2.10059,0.0093565,0.0093565,0.0093565
15,152.86,2.53318,0.4393,0.7517,2.14253,0.009307,0.009307,0.009307
16,162.386,2.52494,0.4465,0.7512,2.08474,0.0092575,0.0092575,0.0092575
17,171.868,2.50378,0.4529,0.7626,2.04529,0.009208,0.009208,0.009208
18,181.538,2.47558,0.4541,0.7616,2.03042,0.0091585,0.0091585,0.0091585
19,191.178,2.48753,0.4623,0.7667,2.00669,0.009109,0.009109,0.009109
20,201.625,2.46808,0.4636,0.7689,2.01812,0.0090595,0.0090595,0.0090595
21,212.318,2.46722,0.4775,0.7832,1.91436,0.00901,0.00901,0.00901
22,223.555,2.44459,0.4719,0.776,1.97485,0.0089605,0.0089605,0.0089605
23,233.612,2.43887,0.4833,0.7872,1.89771,0.008911,0.008911,0.008911
24,243.859,2.43038,0.4827,0.7861,1.89707,0.0088615,0.0088615,0.0088615
25,254.647,2.42418,0.4871,0.789,1.87891,0.008812,0.008812,0.008812
26,265.603,2.41354,0.4835,0.7916,1.8926,0.0087625,0.0087625,0.0087625
27,276.125,2.41135,0.4883,0.7896,1.88096,0.008713,0.008713,0.008713
28,286.248,2.39923,0.4961,0.7986,1.82642,0.0086635,0.0086635,0.0086635
29,296.456,2.38953,0.4999,0.7982,1.86694,0.008614,0.008614,0.008614
30,307.459,2.38377,0.4998,0.7987,1.83796,0.0085645,0.0085645,0.0085645
31,317.41,2.37217,0.504,0.8041,1.8105,0.008515,0.008515,0.008515
32,328.19,2.38092,0.5098,0.8052,1.80022,0.0084655,0.0084655,0.0084655
33,338.312,2.35718,0.5125,0.8074,1.80452,0.008416,0.008416,0.008416
34,348.146,2.35591,0.5108,0.8095,1.79058,0.0083665,0.0083665,0.0083665
35,358.246,2.35092,0.5122,0.8086,1.79114,0.008317,0.008317,0.008317
36,368.141,2.3476,0.5134,0.8081,1.78521,0.0082675,0.0082675,0.0082675
