epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.568259,0.96756,2.3518,1.28617,0.58261,0.85,0.87795,0.63385,1.64939,1.02968,1.37373,0,0,0
2,0.757456,1.24993,3.26414,1.64434,0.58885,0.85,0.84839,0.63037,1.67012,1.02278,1.38719,1.18764e-06,1.18764e-06,1.18764e-06
3,0.953355,1.35107,3.63904,1.61319,0.5905,0.85,0.8539,0.63378,1.69036,1.01557,1.39153,2.37058e-06,2.37058e-06,2.37058e-06
4,1.15649,1.0296,2.75269,1.27694,0.57657,0.85,0.85425,0.63549,1.68283,1.01251,1.38097,3.54879e-06,3.54879e-06,3.54879e-06
5,1.40575,1.33424,2.97967,1.62357,0.61934,0.92632,0.90685,0.64046,1.69265,1.01813,1.37982,4.7223e-06,4.7223e-06,4.7223e-06
6,1.66393,0.94897,2.26997,1.21876,0.56338,0.85,0.85635,0.636,1.67495,1.01862,1.36863,5.8911e-06,5.8911e-06,5.8911e-06
7,1.89287,1.41126,3.85094,1.75594,0.54805,0.85087,0.85776,0.62869,1.68128,1.01941,1.36958,7.05518e-06,7.05518e-06,7.05518e-06
8,2.12776,1.43995,3.97125,1.81255,0.5688,0.85309,0.86063,0.62925,1.70332,1.03789,1.38161,8.21455e-06,8.21455e-06,8.21455e-06
9,2.36803,1.36708,2.86112,1.47792,0.55953,0.86513,0.85999,0.62908,1.70033,1.05156,1.37582,9.3692e-06,9.3692e-06,9.3692e-06
10,2.60389,1.29983,2.4777,1.62592,0.56047,0.86646,0.85905,0.62902,1.6889,1.04484,1.36892,1.05191e-05,1.05191e-05,1.05191e-05
11,2.83764,1.1346,1.77298,1.37998,0.58681,0.85625,0.85809,0.62364,1.69953,1.04954,1.37402,1.16644e-05,1.16644e-05,1.16644e-05
12,3.19231,1.3308,2.74859,1.52964,0.58247,0.86522,0.8557,0.63207,1.69838,1.05996,1.37174,1.28049e-05,1.28049e-05,1.28049e-05
13,3.43051,1.01054,2.51926,1.3645,0.58964,0.86667,0.85552,0.63332,1.68887,1.06195,1.36767,1.39407e-05,1.39407e-05,1.39407e-05
14,3.6671,1.22002,2.11658,1.53129,0.59178,0.86667,0.88731,0.64195,1.68908,1.07053,1.36948,1.50718e-05,1.50718e-05,1.50718e-05
